,Title,Company,Experience,Location,Pay,Description
0,Senior Business Analyst (elearning exp is Mandatory),Hurix Systems Private Limited,8-13 Yrs,"Pune, Mumbai",Not disclosed,requirement gathering rfi proposal writing Business Analyst rfis proposals presales rfp
1,Urgent Opening For Business analyst ( busineess development ),Focus Management Consultants Pvt Ltd.,0-3 Yrs,"Pune, Mumbai",Not disclosed,international sales inside sales international business development international marketing international sales executive software sales it solution sales it sales executive
2,Senior Business Analyst,Standard Chartered Bank Ltd,2-6 Yrs,Bengaluru,Not disclosed,Computer science Business process remediation Business analysis Access management Information security Network security Application security
3,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
4,Sr.Business Analyst,Valence Health,2-4 Yrs,Pune,Not disclosed,Statistical analysis Business Analyst Business analysis Reconciliation CMS business rules Healthcare Test cases
5,Sr. Business Analyst - LIMS,Dr. Reddys Laboratories Ltd.,3-8 Yrs,Hyderabad(Bachupally),"9,00,000 - 19,00,000 PA.",QA LIMS QC Risk Assessment UAT Application Support Template Creation Project Planning
6,Senior Business Analyst,Standard Chartered Bank Ltd,2-6 Yrs,Chennai,Not disclosed,Microstrategy Data analysis Change management Data management Business analysis Project management Gap analysis Visio
7,Manager - IT (Business Analyst),IDBI FEDERAL LIFE INSURANCE COMPANY LIMITED,"Any Postgraduate, Post Graduation Not Required, Any Graduate, Graduation Not Required",Mumbai,Not disclosed,IT Project it business analysis production support project management web application Requirement Gathering mobile applications business analyst
8,BA / Senior Business Analyst,Odessa Technologies,3-8 Yrs,Bengaluru,Not disclosed,ERP Bfsi MIS Consulting Agile Healthcare Scrum microsoft
9,Senior Business Analyst,Aptean,4-9 Yrs,Bengaluru,Not disclosed,Product management QA Data management Database design Test planning Senior Business Analyst System Analyst Portfolio planning
10,Business Analyst - Nit/iit Candidates Only,Macrohire LLP,0-5 Yrs,Hyderabad,"3,00,000 - 5,00,000 PA.",Excel Sales Data Management Primary Data Analysis MIS Generation Data Collection Dashboards
11,Merilytics - Business Analyst - Data Analytics -iit/nit/bits,MERITUS INTELYTICS PRIVATE LIMITED,0-3 Yrs,Hyderabad,Not disclosed,excel analytics python data analysis business analysis problem solving sql statistics
12,Senior Business Analyst (south Region),PPN Solutions Pvt Ltd.,5-10 Yrs,"Chennai, Bengaluru, Hyderabad",Not disclosed,Senior Business Analyst business analysis
13,Business Analyst,Philips India Limited,4-9 Yrs,Bengaluru,Not disclosed,Computer science Nutrition Business analysis Healthcare Support services HTML Scheduling medical records
14,Business Analyst with Health Care Domain,ITC Infotech India Ltd,3-5 Yrs,Bengaluru,"5,00,000 - 13,00,000 PA.",User Acceptance Testing Wireframing MS Visio Waterfall Brd UML User Stories Agile
15,Business Analyst - IAM,Capgemini Technology Services India Limited,3-6 Yrs,Bengaluru,Not disclosed,Process analysis cyber security Business Analyst Business analysis Information security Banking Risk analysis Financial services
16,Senior Business Analyst,CGI Information Systems and Management Consultants    Private Limited,10-14 Yrs,"Bengaluru, Hyderabad",Not disclosed,Business Solutions Fund Accounting Business Modeling Finance User Stories Functional Specifications Corporate Actions Business Process Analysis
17,Business Analyst - Product Reference Data - Pune,eClerx Services Ltd.,5-10 Yrs,Pune,"5,00,000 - 12,00,000 PA.",Securities reference data Bloomberg Golden Source Reference Data Product reference data Asset control Market reference data Instrument reference data
18,Business Analyst + Asp.net  8-10y-pune-persistent,Persistent Systems Limited.,8-10 Yrs,Pune,Not disclosed,Entity Framework Core Functional Specifications Technical Design ASP.Net .Net MVC Business Analysis
19,RPA Business Analyst I Teksystems,Allegis Services India Pvt. Ltd.,3-6 Yrs,Bengaluru(Marathahalli +1),Not disclosed,rpa computer science information technology Business Analyst computer application documentation business analysis mca
20,"Hiring Business Analyst - Software , US Healthcare",Gebbs Healthcare Solutions Pvt. Ltd.,5-10 Yrs,Navi Mumbai,Not disclosed,requirement gathering us healthcare client interfacing business analyst Requirement Analysis
21,Business Analyst-content,Bold Technology Systems Private Limited,3-5 Yrs,Noida,Not disclosed,Gap Analysis Business Analytics business modeling strategy modeling market analysis Business Analysis
22,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
23,Manager - IT (Business Analyst),IDBI FEDERAL LIFE INSURANCE COMPANY LIMITED,"Post Graduation Not Required, Any Postgraduate, Any Graduate, Graduation Not Required",Mumbai,Not disclosed,IT Project it business analysis production support project management web application Requirement Gathering mobile applications business analyst
